"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
2,13.8,0.23,0.42,-46.3,-0.432,18,-83,0.99318,3.41,2.42,10.6,-1,8,"0"
5,8.8,-0.73,1.41,4,0.595,30,69,0.99787,3.47,1.53,5.5,1,10,"2"
4,5.8,-0.91,0.1,47.2,0.044,-238,63,1.02787,3.01,0.47,6.4,1,7,"1"
4,-0.2,0.16,-0.69,27.6,0.056,33,549,0.99825,2.9,0.44,6.1,-1,8,"2"
1,7.3,0.38,-1.08,6.5,0.271,482,102,0.99304,2.85,0.55,16.1,-1,8,"1"
2,5.8,0.18,0.21,6.6,0.1,50,726,0.94294,3.29,0.62,10,-1,6,"2"
2,17.3,1.25,1.3,35.15,0.031,33,631,0.99296,3.92,-1.05,5.3,-2,7,"2"
4,2.1,1.65,0.27,10.9,-0.306,29,130,0.99496,2.51,0.77,2,-1,7,"1"
5,7.2,0.2,1.44,46.6,0.028,-136,103,0.97085,2.17,-0.07,9.2,1,8,"3"
6,15,2.01,1.18,-38.7,-0.286,17,158,1.00364,2.53,0.74,17.4,1,9,"0"
5,3.2,0.52,0.36,1.5,-0.313,90,121,0.98976,4.31,1.29,18.3,0,6,"3"
4,3.1,0.25,0.28,7.7,0.871,402,132,1.045,1.85,1.18,9.4,0,7,"3"
2,6.6,-0.93,0.53,-8.1,-0.024,22,-622,1.00314,2.94,0.35,9.4,-1,7,"0"
4,-2.1,0.24,1.27,10.3,0.18,12,-27,0.96793,3.24,0.59,8.1,0,9,"0"
4,-2.7,3.06,1.59,4.9,0.028,25,-4,0.9922,3.68,0.49,16.8,-1,6,"4"
0,10,0.93,-0.62,1.9,0.08,-462,-172,1.02107,3.13,0.55,9.5,1,11,"0"
4,1.5,0.63,0.32,6.4,0.034,-251,-204,0.9924,3.23,-0.25,11.8,0,8,"0"
2,6.6,0.13,1.27,-15.1,0.04,-115,179,0.9955,4.23,0.41,9,-1,8,"2"
4,8.2,0.34,-0.95,-21,0.028,73,100,0.98958,3.2,1.77,13.2,-1,8,"0"
5,8.2,0.53,0.38,-40.3,-0.56,-286,-275,0.99062,2.88,0.6,18.3,1,9,"3"
5,9.3,0.19,0.29,-51.1,0.042,44,189,0.99304,3.99,-0.75,10.3,1,7,"3"
3,1.6,0.33,0.31,7.7,-0.175,307,-21,0.99226,3.11,0.24,8.8,0,8,"2"
3,13.8,-0.29,0.36,-13.9,0.447,291,-140,0.96793,3.25,0.63,7,-1,8,"0"
3,7.2,0.16,0.32,-44.9,0.04,50,-150,1.0458,3.27,0.96,10,-1,8,"2"
3,-0.8,-0.56,0.42,2.3,-0.139,-453,-718,0.9972,4.15,-0.65,10.9,-1,8,"2"
3,7.7,-2.54,0.35,15.3,0.638,74,148,0.99628,1.9,2.02,15.3,0,8,"1"
3,-0.5,0.91,-2.16,88.1,0.036,250,451,1.04541,3.47,-0.66,9.1,-1,7,"0"
5,13.8,-1.07,0.49,53.3,0.342,305,161,0.9937,3.01,0.28,12.1,1,8,"3"
2,8.9,0.27,1.26,10.7,-0.432,19.5,166,0.99669,3.13,0.48,16.8,-1,10,"2"
4,16.2,-1.22,0.26,11,0.03,2,82,0.99402,1.9,0.36,11.2,1,7,"4"
5,-14.4,0.155,1.43,-41,0.025,357.5,637,0.9934,3.18,0.61,3.9,0,8,"3"
4,8.7,1.225,-1.47,47.2,0.09,4,11,0.99745,3.31,1.59,9.5,1,9,"1"
4,6.1,0.5,0.38,-19.4,0.144,-10,65,1.01902,5.14,0.64,11.4,0,7,"3"
7,17.8,0.21,-0.15,19.2,0.034,138,118,0.9917,3.3,-1.26,11.2,1,8,"4"
3,7.4,0.01,1.42,8.4,-0.251,52,571,1.03166,3.09,-1.38,8.8,0,8,"0"
0,8.6,1.695,0.11,4.1,0.481,-114,101,0.96126,2.66,0.38,12.5,0,9,"0"
0,6.6,0.22,-0.6,137.6,0.316,39,118,0.99834,3.05,1.79,9.1,0,7,"1"
5,1.3,-0.15,1.44,-20.8,-0.321,279,87,0.9936,2.17,0.42,10.9,0,8,"2"
2,14.3,0.99,0.15,1.2,0.053,61,573,1.03601,3.86,0.43,9.2,-1,8,"1"
0,20.6,0.24,0.46,2.2,0.033,-210,111,1.02888,3.88,0.25,5.4,-1,7,"2"
3,-4.4,0.13,1.61,101.1,0.077,121,-363,0.9728,2.02,0.53,4.4,0,12,"0"
0,7.8,0.625,0.16,2,0.084,132,-324,0.9962,3.14,0.23,11,2,9,"0"
0,7,0.42,0.26,-32.9,0.088,79,39,1.08975,2.81,0.55,9.2,-2,8,"0"
3,-2.2,0.655,-1.19,48.8,-0.236,138,-339,0.96197,2.71,0.88,5.3,1,7,"3"
7,0.8,0.46,1.94,-8.3,0.356,41,193,0.9928,3.6,0.35,12.2,2,8,"4"
3,7.6,0.18,0.46,46.4,0.055,58,614,1.02397,3.14,0.35,9.9,-1,8,"2"
0,10,0.35,0.53,2.6,0.07,-253,16,0.9972,3.15,-0.16,11,1,12,"0"
0,-4.1,0.33,0.27,1.2,-0.405,34,354,0.9934,3.37,1.47,9.4,1,7,"1"
5,7.7,0.34,0.28,6,0.242,31,359,0.99815,3.27,-1.28,9.2,1,8,"3"
4,-2.2,0.79,0.43,1.6,0.769,31,468,0.9916,4.02,0.5,7.4,0,9,"3"
3,6.1,0.32,-0.59,8.3,0.036,19,455,1.00919,4.23,0.52,12.6,-1,7,"0"
3,6.3,-1.04,-0.38,5.9,0.448,82.5,260,1.0167,3.12,0.66,15.7,0,7,"1"
5,5.5,0.42,1.48,-51.4,-0.339,43,589,0.99013,3.14,0.88,18.5,1,7,"0"
3,9.3,-0.01,-0.44,46.4,0.051,46,139,1.03656,3.18,0.23,13.2,0,7,"3"
0,8.7,0.78,1.07,1.7,-0.061,12,122,0.99577,3.22,1.23,15.6,0,10,"0"
4,-2.5,0.61,0.28,-62.1,0.039,-73,-37,0.99469,3.11,-1.28,10.9,-1,7,"2"
0,8.8,0.86,0.36,39.6,-0.29,239,-44,0.9982,3.23,0.51,9.3,0,9,"0"
4,5.7,0.93,-0.05,6.8,0.167,61,-51,1.03903,3.09,0.46,15.1,1,7,"2"
3,-0.6,0.37,0.52,9.2,0.082,146,26,1.0565,3.22,-0.79,9.5,0,10,"3"
4,12.3,0.3,0.22,-15.1,-0.528,236,191,0.9966,3.08,0.4,9.3,0,8,"3"
4,0.4,-0.07,-0.09,9.6,-0.497,-288,143,1.00784,3.25,-1.98,20.2,-1,7,"2"
5,13.5,2.03,0.28,14.7,0.162,-157,353,0.99792,4.33,0.39,6.1,0,7,"2"
6,0.3,0.31,-0.49,53.3,0.036,34,114,1.03461,2.12,-0.67,6.1,1,8,"3"
0,6.8,0.04,0.09,25.7,0.04,-350,339,1.03736,2.34,0.46,16,0,7,"1"
3,10.4,0.17,0.27,1.4,0.032,39,45,0.99254,3.14,0.67,9.7,0,7,"3"
4,6.6,0.18,0.28,41.5,0.041,53,-87,0.99207,3.13,0.45,9.3,0,7,"2"
2,7.6,0.29,1.48,35.1,0.051,100,146,0.9939,3.16,0.39,12,-1,8,"1"
5,6.5,-0.35,0.65,17.6,-0.124,34,-154,0.9923,3.91,0.47,3,1,7,"2"
3,6.9,0.59,0.82,38.2,0.415,34,389,0.99165,2.13,-1.03,12.3,-2,8,"0"
3,2.3,0.38,0.25,9.8,-0.461,-113,191,0.99548,3.28,2.07,10.7,0,8,"0"
3,9,0.8,0.12,34,0.192,8,-78,1.01622,4.26,1.38,23.2,-1,10,"2"
4,13.6,0.29,-0.3,1.4,0.666,52,148,0.98378,2.07,-1.24,9,0,8,"3"
4,14.3,-0.4,1.24,-33.3,-0.522,26,105,0.98962,3.19,0.75,12.4,-1,7,"3"
0,6,0.76,1.8,3.3,0.303,26,-226,0.94672,2.34,0.77,9.5,-2,7,"0"
0,-8.2,0.12,0.28,-42.5,-0.073,-83,19,1.01367,3.23,-0.71,12,-1,7,"2"
3,19,1.48,0.64,73.6,-0.246,238,-388,1.01453,2.04,1.73,9.2,0,8,"2"
5,-3.9,0.18,-0.5,12.6,-0.301,155,195,1,3.05,-1,10.4,-1,8,"1"
4,9.7,1.35,1.54,-11.7,-0.098,-26,-160,0.9891,3.03,-0.55,13.3,0,7,"1"
4,6.5,1.74,0.19,-33.6,-0.096,196,530,0.99364,3.34,0.72,10.1,0,7,"3"
4,6.7,0.96,1.07,1.4,0.025,-200,76,0.98398,1.63,0.44,11,0,7,"3"
3,5.1,2.68,2.06,1.1,0.564,-381,529,0.99445,3.15,1.84,13.7,0,7,"0"
2,9.8,0.44,0.42,2.8,-0.134,35,167,1.01102,3.12,0.39,9.8,-1,11,"0"
4,6.8,0.27,0.31,-24.6,-0.194,259,170,1.01824,4.17,0.66,14.2,0,7,"0"
6,5.8,-0.87,0.3,42,0.024,45,159,1.03792,2.95,2.05,13.7,1,6,"4"
4,11.2,0.85,0.62,-9.5,0.036,56,153,0.9978,4.35,1.13,6.8,0,9,"3"
3,-1.4,0.25,1.83,-45.4,0.049,145,-113,0.99154,3.17,0.48,13.4,-1,8,"2"
7,-2.2,0.48,1.06,1.8,0.034,62,132,0.991,3.68,-1.94,12.6,1,8,"4"
2,0.3,0.21,0.28,7.5,0.07,80,-273,1.0955,2.87,1.03,9.4,-1,7,"0"
2,3.2,-0.27,0.52,-12.1,-0.13,12,276,0.9969,3.25,2.3,7.6,-1,10,"2"
6,9.2,-1,0.46,6.3,0.032,-45,121,0.99214,2.21,1.52,5.5,1,7,"4"
0,9.4,0.37,0.3,-57.5,0.04,49,139,0.99021,3.44,1.88,19.2,-1,8,"1"
2,6.3,0.18,0.36,64.8,0.034,161,531,0.99074,3.16,0.53,11,-2,7,"0"
3,-4.2,0.32,1.7,60.7,-0.551,267,180,0.99463,3.27,1.21,11.3,-1,8,"3"
3,10.7,0.28,0.35,28.9,0.054,-374,273,0.99178,4.2,0.4,10.7,0,8,"2"
4,5.7,1.08,0.6,53.5,0.064,296,-147.5,1.0439,3.68,-0.1,10.3,1,7,"3"
3,5.7,0.77,0.12,2.9,0.082,157,74,0.971,2.03,0.64,10.4,-1,10,"2"
7,11.4,-0.65,3.09,70.6,0.421,-171,150,0.995,2.45,0.78,17.9,1,8,"3"
4,6.7,-0.82,1.11,12.5,0.035,199,-246,0.98535,2.88,1.65,5.2,0,7,"2"
5,14.6,0.51,1,11.6,0.037,-120,467,1.01275,3.1,1.62,7.8,1,9,"2"
4,11.2,0.14,0.33,-44.7,0.104,116,494,0.99057,2.99,1.47,20.9,0,8,"3"
6,7.8,0.33,0.62,4.9,0.038,46,132,1.01853,3.23,0.43,13.4,1,8,"3"
4,6,-1.12,0.52,51.8,0.816,63,515,0.99494,3.1,-1.26,9,0,7,"1"
2,6.3,0.24,0.55,-46.2,-0.202,468,216,0.99931,2.9,-0.94,2.8,-1,7,"0"
3,6,-1.18,0.22,12.15,0.116,42,163,0.9957,3.2,0.46,10.1,0,7,"3"
3,5.4,0.7,0.29,46.5,0.499,256,145,1.02159,3.68,0.46,10.3,0,6,"3"
4,6.9,0.25,0.35,43.5,0.034,32,150,0.9947,3.21,0.36,11.5,0,8,"3"
4,6.1,0.12,1.41,52.9,0.046,39,-8,1.04495,2.36,-1.21,10.6,0,7,"2"
0,10,-0.33,-0.41,-31,-0.242,119,77,1.0447,3.16,0.69,11.7,1,11,"0"
4,6,0.76,1.05,-10.4,0.092,15,54,1.00157,3.78,-0.97,5.3,1,9,"2"
6,7,-0.64,1.86,-24.5,-1.147,41,23,1.02574,3.84,0.37,13.5,1,8,"4"
3,7,0.23,-1.19,-53,0.157,-57,92,0.99372,2.45,-1.49,9.3,0,8,"2"
3,7.7,1.63,0.8,5.2,0.076,19,-338,0.99138,2.95,0.11,6.6,-1,9,"2"
4,6.5,0.19,0.34,62.7,-0.279,265,116,0.99362,3.21,0.68,19.3,0,7,"3"
0,6,0.03,0.13,1.2,0.452,60,-520,0.99114,3.94,0.22,10.6,0,7,"1"
0,10.4,0.06,0.78,66.4,0.293,6,10,1.0055,3.9,0.65,11.8,1,11,"0"
0,8.2,0.61,0.49,2.3,0.099,27,-287,0.97962,3.38,1.31,15.1,0,9,"0"
5,7.5,0.46,0.28,9.6,0.051,-4,157,1.03846,3.55,0.42,11.9,1,8,"2"
4,5.7,3.18,0.26,12.5,0.049,-122.5,120,0.95985,2.81,1.01,3.9,0,6,"2"
4,4.3,0.26,0.29,56.7,-0.623,40,179,0.99479,3.8,0.56,13.7,0,7,"3"
0,10.4,0.575,0.81,2.6,0.587,-213,76,0.98409,3.16,-2.69,9,1,12,"0"
5,6.9,0.55,-0.25,-21.5,0.029,-120,107,1.01737,2.02,-2.02,9.8,-1,7,"3"
0,8.6,0.33,1.3,2.6,-0.031,16,68,0.99782,3.3,4.1,9.4,1,9,"0"
5,8.5,0.48,0.3,1.5,0.037,-94,160,0.97418,4.35,-1.22,15.5,0,7,"2"
3,7.6,-0.77,1.23,4.6,0.338,33,552,0.99018,3.04,0.43,13.1,-1,9,"1"
5,7.2,-0.48,0.29,54.4,-0.216,-57,-546,1.00726,3.33,-2.35,11,-1,7,"0"
4,6.8,0.23,0.42,-100.7,0.044,56,189,0.96061,3.22,0.48,11.8,0,7,"1"
0,8.4,0.61,0.4,1.4,0.343,-254,178,0.9909,1.9,0.68,14.2,1,7,"0"
2,7.5,0.07,0.32,9,0.393,285,127,1.04361,3.25,-0.18,10.4,-2,8,"0"
5,7.1,-1.1,-1.16,10.7,0.178,-46,-174,0.9959,3.16,2.1,10.9,0,8,"3"
0,-4.7,-1.25,0.31,1.7,0.079,111,88,0.99716,3.43,1.12,2.8,1,8,"0"
5,14.9,0.41,0.3,3.2,0.128,49,45,0.9927,2.37,1.5,11.7,0,7,"2"
5,6.3,1.5,1.16,1.7,0.041,-487,499,1.03032,3.32,0.56,15.2,1,7,"3"
2,6.8,0.22,1.52,-33,0.041,-226,182,0.99104,2.65,0.87,13.1,-1,7,"1"
5,0.2,-0.29,-1.34,-10.2,0.024,298,389,0.99234,3.37,0.58,12.5,1,6,"4"
5,15.7,0.18,-0.58,0,-0.118,-91,-235,0.99406,3.11,1.73,13.7,0,7,"2"
4,8.1,0.45,-0.09,8.3,0.037,33,565,0.9976,3.31,0.64,7.3,1,9,"2"
4,8.2,0.22,0.19,1.1,0.064,36,32,0.99297,4.2,0.5,13.8,0,7,"3"
0,10.4,1.78,0.18,52.3,0.042,109,101,0.9924,3.46,2.1,17.9,0,6,"0"
3,-6.1,-1.21,1.92,11.3,0.048,232,118,0.96491,3.18,-0.69,10.3,0,9,"1"
5,6.7,-0.38,0.2,-49,0.229,-200,471,0.9956,3.37,0.64,10.4,1,8,"2"
3,7.3,-0.95,0.39,-6.9,0.034,-29,-234,0.9942,3.18,0.46,11.5,0,8,"2"
0,3.5,0.66,0.41,1.3,0.044,11,600,1.04381,4.11,-0.35,8.6,0,8,"0"
4,7.5,0.36,0.29,1.5,0.046,239,7,0.95322,2.62,0.45,5.8,0,8,"1"
3,3.9,0.665,0.19,66.1,0.048,-176,378,0.99487,3.26,0.71,10.2,-1,6,"0"
2,0.4,0.55,0.13,1.7,-0.049,-45,165,0.994,2.69,0.58,8.8,-2,8,"1"
5,-2,0.22,-0.42,-49.2,0.021,-189,130,0.96911,3.11,-1.02,15.7,0,7,"2"
3,8.3,0.815,-0.85,2.3,-0.23,15,471,0.97432,3.65,0.66,1.2,0,9,"1"
3,7,0.19,0.23,50.5,0.123,27,-254,0.91284,1.32,0.54,7.2,-1,7,"3"
0,16.8,0.41,1.06,65,0.096,17,69,0.99734,3.26,0.63,10.2,0,10,"0"
4,6.8,-0.9,0.18,52.6,-0.082,547,521,0.96083,2.74,1.86,15.3,0,7,"2"
3,8,0.22,0.2,15.4,0.043,57,476,1.02266,3.15,0.54,9.4,0,8,"1"
4,7.2,-0.22,-0.69,43,0.538,34,140,0.99,3.05,0.44,12.7,0,8,"2"
0,6.8,0.18,0.52,12.8,0.014,106,553,1.05792,3,0.52,15.4,-1,7,"0"
4,7.3,0.145,-0.53,9.1,0.229,14,64,0.99012,1.28,0.37,13.9,-1,8,"1"
4,17.8,0.22,0.28,7.2,0.06,-28,24,0.9935,2.99,0.23,8.5,0,8,"2"
0,9.5,0.57,0.07,2.3,0.082,23,-259,0.99782,3.27,0.25,15.8,1,10,"0"
2,3.4,0.63,0.44,28.4,0.648,199,108,1.03741,2.03,0.64,8.6,-1,8,"0"
8,7.9,1.25,0.34,-39.2,-0.058,226,17,0.99235,2.5,1.05,13.1,2,9,"4"
0,-5,0.32,0.25,2.3,-0.029,-165,-169,0.94462,3.42,0.15,10.6,-2,7,"0"
4,14.9,1.23,1.87,2,0.039,-20,-205,0.94425,3.63,0.41,11.2,0,8,"1"
4,-1.1,1.22,0.47,2.5,-0.303,9,-335,0.9981,3.24,0.84,7.7,0,11,"3"
5,8.4,1.91,0.36,44.2,0.043,-21,207,1.04422,3.11,0.51,9.6,1,7,"3"
0,9.1,-0.14,0.49,1,0.094,38,-164,0.99136,3.08,0.59,9.1,0,10,"0"
4,6.3,1.31,-0.79,13.7,0.515,53,134,0.99567,3.17,1.3,3.7,0,7,"1"
0,9.8,0.75,-0.57,-16.6,0.074,-150,-387,0.99534,3.4,1.56,11,1,8,"1"
5,7.6,1.12,0.27,5.2,-0.407,-41,101,0.99172,3.22,1.09,12.3,0,8,"3"
1,7.2,0.65,1.53,-44.1,0.525,37,183,0.99474,3.08,0.5,21.4,-2,8,"0"
2,11,0.78,-0.49,56.35,0.048,327,189,1.00582,3,1.41,14.3,-2,8,"1"
3,5.9,0.26,-0.87,-47.6,0.034,36,152,0.9972,3.28,-0.99,9.5,-1,6,"1"
0,3.3,-0.48,0.69,14.2,0.078,12,-174,0.9958,3,1.59,18.2,0,13,"1"
4,7,-1.22,1.82,14.3,-0.343,27,93,0.998,3.73,0.35,9.2,0,7,"2"
2,2.6,0.71,-1.18,5.6,0.046,155,324,0.96214,3.29,0.51,10.533333333,-1,7,"1"
5,5.3,0.76,-1.29,2.7,0.263,27,93,0.96273,3.34,0.81,9.2,2,6,"3"
2,11.6,0.85,0.53,-39.3,0.105,33,98,0.99688,3.2,-0.38,3.5,-1,13,"1"
4,-1.6,0.85,0.04,-108.7,-0.378,154,151,0.99907,2,2.41,9.5,1,8,"3"
0,15.2,-0.36,0.47,46.1,0.228,-251,190,0.9914,2.59,1.05,12.2,1,7,"1"
4,6.1,0.16,1.96,-0.2,0.042,-18,3,0.96043,3.57,0.75,10.6,-1,7,"2"
5,17.1,-0.26,0.26,16.75,0.05,-9,112,0.9999,3.15,-0.73,9.2,2,9,"0"
3,5.3,0.585,0.07,-18,0.322,34,466,0.95145,2.11,0.39,6.1,-1,6,"0"
3,6.9,0.4,0.42,6.2,-0.111,210,331,0.98668,2.58,0.54,19.8,0,8,"1"
0,7.3,0.41,0.26,10.7,0.032,154,-95,0.99584,4.56,0.22,15.9,0,8,"1"
0,9.4,0.5,1.37,3.6,0.082,5,184,0.9987,2.54,0.34,7.4,1,10,"0"
0,1.2,0.915,0.29,27,0.07,15,39,0.95114,3.53,0.54,6.9,0,8,"1"
4,6.4,0.19,-0.59,52.5,0.032,32,-122,0.97566,2.95,0.41,11.7,0,7,"2"
3,8,0.6,0.22,2.1,0.08,25,-121,0.99613,3.3,0.49,5.9,0,9,"2"
3,-4.2,0.47,-0.58,30.4,0.556,11,77,0.9956,4.38,0.59,-1.1,0,8,"1"
5,9,0.24,0.35,1.5,0.052,51,128,0.94572,3.41,1.78,12.6,0,8,"1"
0,6.8,1.46,1.87,1.1,0.035,26,81,1.029,4.26,0.52,11.4,-1,6,"1"
