"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"1",5272,1,43,1,13,18282,"No",0,"Yes","Female","High School","Student",22,"Commercial",17600,8,"SUV","No",5336,2,"Yes",0,1,"Urban"
"0",0,1,40,2,16,36886,"No",169625,"Yes","Female","High School","Clerical",47,"Private",13130,11,"Sports Car","No",0,0,"Yes",2,9,"Rural"
"0",0,0,49,0,11,99100,"No",251945,"Yes","Female","Masters","Lawyer",26,"Private",26650,1,"Minivan","No",0,0,"Yes",0,15,"Rural"
"0",0,0,50,0,12,108224,"No",0,"No","Female","Masters","Lawyer",35,"Private",27010,1,"Minivan","No",4235,2,"Yes",7,19,"Urban"
"0",0,0,56,0,3,37352,"No",0,"No","Male","Masters","Lawyer",20,"Private",13340,1,"Minivan","Yes",0,0,"Yes",1,20,"Rural"
"1",6780,0,37,0,11,40868,"No",0,"No","Female","High School","Clerical",40,"Private",9620,6,"SUV","No",7414,1,"Yes",1,8,"Urban"
"0",0,0,45,1,8,52149,"No",184538,"Yes","Female","Bachelors","Professional",15,"Private",11990,6,"SUV","No",0,0,"Yes",0,7,"Urban"
"1",3352,0,53,0,9,28637,"No",0,"No","Male","<High School","Clerical",48,"Private",6600,4,"Pickup","Yes",21606,1,"No",1,1,"Urban"
"0",0,0,41,0,9,107814,"No",282778,"No","Male","Masters","Manager",44,"Commercial",18920,4,"Van","No",0,0,"Yes",0,17,"Urban"
"0",0,0,48,0,9,72838,"No",204780,"Yes","Male","Bachelors","Blue Collar",49,"Commercial",13580,1,"Minivan","No",0,0,"Yes",1,1,"Rural"
"1",1901,0,37,0,12,38128,"No",139340,"Yes","Female","High School","Blue Collar",51,"Commercial",23350,1,"SUV","No",0,0,"Yes",0,10,"Rural"
"0",0,0,35,0,9,19639,"No",0,"No","Female","High School","Clerical",45,"Private",20860,4,"Minivan","Yes",0,0,"Yes",0,1,"Urban"
"0",0,1,40,2,14,26555,"No",160140,"Yes","Female","<High School","Clerical",47,"Private",8160,17,"Sports Car","No",0,0,"Yes",1,1,"Urban"
"1",4771,0,35,2,12,105992,"Yes",0,"No","Female","Bachelors","Professional",43,"Private",17540,1,"Minivan","No",25379,1,"No",0,9,"Urban"
"0",0,0,45,0,11,92792,"No",0,"No","Female","Masters","Lawyer",28,"Private",6000,1,"Sports Car","No",8609,2,"Yes",4,17,"Urban"
"1",2203,0,55,0,13,74385,"No",235361,"No","Female","Bachelors","Professional",61,"Private",12520,9,"SUV","No",8533,1,"No",7,12,"Rural"
"0",0,0,62,0,13,29453,"No",135076,"Yes","Male","Bachelors","Professional",26,"Private",17090,22,"SUV","No",0,0,"Yes",0,17,"Urban"
"0",0,0,51,0,12,35024,"No",196320,"Yes","Female","<High School","Blue Collar",38,"Private",5000,7,"SUV","No",0,0,"Yes",0,6,"Rural"
"0",0,0,51,0,12,4431,"No",0,"Yes","Female","High School","Student",48,"Private",27390,1,"Minivan","No",0,0,"Yes",0,14,"Rural"
"0",0,0,60,0,12,89504,"No",239965,"No","Female","Masters","Lawyer",50,"Private",10450,6,"SUV","No",893,2,"Yes",5,19,"Urban"
"0",0,0,50,0,11,101130,"No",335516,"Yes","Female","Masters","Lawyer",36,"Private",16610,1,"SUV","No",0,0,"Yes",0,10,"Urban"
"0",0,0,61,0,12,179536,"No",481375,"No","Male","PhD","Doctor",45,"Private",25550,6,"Minivan","No",0,0,"Yes",1,19,"Urban"
"0",0,0,73,3,16,116520,"No",362060,"Yes","Male","PhD","Doctor",5,"Private",19540,14,"Minivan","No",0,0,"Yes",0,21,"Urban"
"0",0,0,42,2,13,1719,"No",0,"Yes","Female","High School","Student",19,"Commercial",10980,4,"Sports Car","No",0,0,"Yes",0,1,"Urban"
"1",5952,0,63,0,15,26921,"No",140455,"Yes","Female","Bachelors","Manager",19,"Private",14360,1,"SUV","No",30288,1,"No",2,11,"Urban"
"0",0,0,49,0,12,91922,"No",262101,"Yes","Male","Bachelors","Professional",30,"Private",15590,1,"Minivan","No",0,0,"Yes",1,1,"Urban"
"0",0,0,37,0,8,14195,"No",0,"No","Female","<High School","Clerical",57,"Private",17110,7,"SUV","No",0,0,"Yes",0,1,"Rural"
"0",0,0,34,1,10,84128,"Yes",236963,"No","Female","Masters","Professional",8,"Private",13310,3,"Sports Car","No",0,0,"Yes",0,14,"Rural"
"1",7045,0,58,0,6,57517,"No",0,"No","Male","Bachelors","Manager",22,"Commercial",28740,1,"Panel Truck","Yes",0,0,"Yes",4,12,"Urban"
"0",0,1,37,2,14,96188,"Yes",0,"No","Female","Bachelors","Professional",49,"Private",13340,1,"SUV","No",0,0,"No",1,10,"Urban"
"0",0,0,44,1,16,114537,"No",307024,"Yes","Female","Masters","Lawyer",7,"Private",26090,17,"Pickup","No",0,0,"Yes",0,17,"Urban"
"0",0,0,37,0,13,89596,"No",271298,"Yes","Male","PhD","Doctor",30,"Private",14160,1,"Minivan","Yes",1344,1,"Yes",5,13,"Urban"
"0",0,0,45,0,9,107537,"No",295463,"Yes","Male","Masters","Lawyer",30,"Private",16820,4,"Van","Yes",0,0,"Yes",0,12,"Urban"
"0",0,0,46,0,13,15840,"No",140734,"Yes","Male","High School","Blue Collar",50,"Commercial",11700,1,"Pickup","Yes",0,0,"Yes",0,1,"Rural"
"0",0,0,48,0,9,12169,"No",0,"Yes","Female","High School","Student",69,"Private",7520,1,"Sports Car","No",0,0,"Yes",1,8,"Rural"
"0",0,0,46,0,0,0,"No",59722,"Yes","Female","Bachelors","Home Maker",54,"Private",6140,1,"SUV","No",0,0,"Yes",1,9,"Rural"
"0",0,0,43,2,13,118983,"No",355673,"Yes","Female","Bachelors","Professional",29,"Private",36960,1,"Sports Car","No",50347,2,"No",4,11,"Urban"
"0",0,0,35,2,13,35907,"Yes",160171,"No","Female","High School","Clerical",53,"Private",8590,4,"SUV","No",1278,2,"Yes",6,6,"Rural"
"0",0,0,55,0,13,73246,"No",252432,"Yes","Female","Masters","Manager",12,"Private",19610,6,"SUV","No",0,0,"Yes",2,14,"Urban"
"0",0,1,43,2,14,71141,"Yes",217600,"No","Male","Bachelors","Manager",36,"Private",14010,13,"Minivan","Yes",716,3,"Yes",3,1,"Urban"
"0",0,0,47,0,13,28966,"No",127520,"Yes","Male","<High School","Clerical",54,"Commercial",6400,1,"Pickup","Yes",0,0,"Yes",1,1,"Rural"
"1",10106.49119,0,54,0,14,40862,"No",0,"No","Female","Masters","Home Maker",48,"Private",20400,7,"SUV","No",0,0,"Yes",0,17,"Urban"
"0",0,0,45,2,0,0,"Yes",0,"No","Male","Bachelors","Student",63,"Commercial",6000,1,"Minivan","Yes",0,0,"No",0,1,"Rural"
"0",0,0,50,0,0,0,"No",0,"No","Female","<High School","Home Maker",33,"Private",9490,1,"SUV","No",0,0,"Yes",0,5,"Rural"
"0",0,0,46,0,2,102253,"No",265759,"No","Male","Bachelors","Manager",27,"Commercial",22900,6,"Panel Truck","No",4842,1,"Yes",6,13,"Urban"
"0",0,0,47,0,13,58273,"No",238850,"Yes","Female","Masters","Lawyer",33,"Private",12030,6,"SUV","No",0,0,"Yes",1,12,"Rural"
"0",0,0,51,0,6,94054,"No",235901,"Yes","Female","Bachelors","Professional",45,"Commercial",21390,6,"Pickup","No",1744,2,"Yes",6,11,"Urban"
"0",0,0,28,2,14,59889,"No",193646,"Yes","Female","Masters","Home Maker",45,"Private",11100,6,"SUV","No",5867,2,"Yes",8,14,"Urban"
"0",0,0,48,0,15,36098,"No",0,"No","Male","High School","Manager",24,"Private",9910,1,"Pickup","Yes",8258,2,"Yes",0,6,"Urban"
"0",0,3,39,3,13,30728,"No",174194,"Yes","Female","Bachelors","Clerical",6,"Private",27250,6,"Minivan","No",1400,2,"Yes",1,11,"Rural"
"0",0,0,50,0,11,60895,"No",244784,"No","Female","PhD","Professional",17,"Private",7590,7,"Sports Car","No",2005,1,"Yes",6,14,"Urban"
"1",1842.2108931,0,27,4,13,50139,"No",167990,"Yes","Female","High School","Blue Collar",22,"Private",9210,1,"SUV","No",1271,2,"Yes",3,1,"Urban"
"1",3667,0,38,0,9,62290,"No",223013,"No","Female","Bachelors","Blue Collar",22,"Commercial",14640,11,"Minivan","No",0,0,"No",0,9,"Urban"
"0",0,0,39,0,0,0,"No",0,"No","Female","Bachelors","Student",38,"Commercial",5400,1,"SUV","No",0,0,"Yes",0,6,"Rural"
"0",0,0,43,0,11,24382,"No",168092,"Yes","Male","<High School","Blue Collar",31,"Commercial",8240,1,"Pickup","Yes",0,0,"Yes",0,1,"Rural"
"0",0,0,63,0,14,93590,"No",0,"No","Female","Masters","Lawyer",39,"Private",14190,6,"Sports Car","No",3088,1,"Yes",4,21,"Urban"
"1",2982,1,45,2,9,38563,"Yes",0,"No","Female","Masters","Lawyer",6,"Private",9860,1,"Sports Car","No",0,0,"No",0,11,"Urban"
"0",0,0,50,0,12,107047,"No",290830,"No","Female","Bachelors","Manager",27,"Private",19650,4,"Sports Car","No",0,0,"Yes",0,14,"Urban"
"0",0,0,57,0,13,92106,"No",0,"No","Female","Bachelors","Manager",46,"Private",25710,9,"Minivan","No",0,0,"Yes",1,7,"Urban"
"0",0,0,48,0,12,69589,"No",195516,"Yes","Male","PhD","Manager",39,"Commercial",37500,7,"Panel Truck","No",0,0,"Yes",1,17,"Urban"
"0",0,0,48,0,13,20887,"No",159568,"Yes","Male","<High School","Clerical",15,"Commercial",30380,10,"Panel Truck","No",18920,3,"Yes",0,6,"Urban"
"0",0,0,35,1,0,0,"No",99767,"Yes","Female","High School","Home Maker",44,"Private",16870,4,"SUV","No",11353,1,"Yes",2,1,"Urban"
"0",0,0,40,1,12,41002,"Yes",0,"No","Female","<High School","Clerical",47,"Private",12090,1,"SUV","No",0,0,"Yes",0,1,"Rural"
"0",0,0,50,0,13,29139,"No",176944,"Yes","Male","Bachelors","Clerical",25,"Private",9410,12,"Pickup","Yes",0,0,"Yes",0,1,"Rural"
"1",1698,0,55,0,15,86268,"No",274362,"Yes","Male","Bachelors","Blue Collar",48,"Commercial",34310,6,"Panel Truck","No",4423,2,"Yes",0,12,"Urban"
"0",0,0,48,0,15,24503,"No",141398,"No","Male","<High School","Blue Collar",39,"Commercial",20350,1,"Van","Yes",0,0,"Yes",0,8,"Rural"
"1",4402,0,36,0,0,0,"No",68436,"No","Female","PhD","Home Maker",62,"Private",2680,6,"Sports Car","No",0,0,"Yes",0,21,"Urban"
"0",0,0,53,0,13,17424,"No",0,"Yes","Male","Bachelors","Student",39,"Commercial",10860,1,"Pickup","Yes",0,0,"Yes",0,1,"Rural"
"1",3320.8008076,0,45,0,4,19502,"No",0,"No","Male","High School","Professional",42,"Private",13830,4,"Minivan","No",6556,3,"Yes",0,1,"Urban"
"1",9605,0,43,0,11,45416,"No",146899,"Yes","Female","High School","Blue Collar",15,"Commercial",10340,1,"Sports Car","No",0,0,"Yes",3,6,"Urban"
"0",0,0,56,0,11,41301,"No",216050,"No","Male","Bachelors","Clerical",54,"Private",14310,1,"Minivan","Yes",0,0,"Yes",0,9,"Rural"
"0",0,0,32,0,15,92192,"No",0,"No","Male","PhD","Doctor",15,"Commercial",18160,10,"Van","Yes",5432,5,"Yes",4,17,"Urban"
"0",0,0,48,0,10,87020,"No",286631,"Yes","Male","Bachelors","Blue Collar",39,"Private",15790,4,"Minivan","Yes",0,0,"Yes",0,9,"Urban"
"0",0,0,26,0,9,53982,"No",152641,"Yes","Female","Bachelors","Blue Collar",37,"Commercial",18980,10,"SUV","No",0,0,"Yes",0,1,"Rural"
"0",0,0,48,0,15,79078,"No",219277,"Yes","Female","Masters","Lawyer",53,"Private",9410,6,"SUV","No",0,0,"Yes",0,18,"Urban"
"0",0,2,38,3,0,0,"No",0,"Yes","Female","<High School","Student",46,"Private",22380,1,"SUV","No",2531,3,"Yes",4,1,"Urban"
"0",0,0,27,3,11,30125,"Yes",0,"No","Male","<High School","Student",5,"Private",20120,1,"Van","No",0,0,"Yes",0,1,"Urban"
"0",0,0,38,1,11,1729,"Yes",0,"No","Male","High School","Student",35,"Commercial",19340,1,"Van","No",0,0,"Yes",0,1,"Rural"
"1",4446,0,27,1,12,22252,"Yes",0,"No","Female","<High School","Blue Collar",33,"Private",14070,1,"SUV","No",0,0,"Yes",1,7,"Urban"
"0",0,2,42,3,0,0,"No",83970,"Yes","Female","Bachelors","Home Maker",5,"Private",9240,4,"Minivan","No",0,0,"No",0,13,"Urban"
"0",0,0,50,0,11,525,"No",0,"Yes","Female","<High School","Student",49,"Private",34220,1,"Van","No",0,0,"Yes",0,6,"Rural"
"1",2872,0,40,0,5,57063,"No",0,"No","Female","Masters","Professional",46,"Private",16250,10,"Sports Car","No",0,0,"Yes",0,19,"Urban"
"0",0,0,37,0,13,56637,"No",177360,"Yes","Male","Bachelors","Manager",34,"Private",10860,17,"Pickup","Yes",0,0,"Yes",0,10,"Urban"
"0",0,0,46,0,15,62565,"No",188189,"Yes","Male","High School","Blue Collar",35,"Commercial",14450,7,"Minivan","Yes",0,0,"Yes",0,8,"Urban"
"1",4267,0,44,0,0,0,"No",0,"No","Female","Masters","Home Maker",27,"Private",5900,4,"SUV","No",0,0,"Yes",2,11,"Urban"
"1",5686,0,45,0,13,44492,"No",0,"No","Female","Masters","Lawyer",9,"Private",13540,1,"Minivan","No",10941,2,"Yes",4,20,"Urban"
"1",4043,0,48,1,12,80016,"Yes",0,"No","Female","Bachelors","Manager",36,"Commercial",33550,4,"Van","No",0,0,"Yes",0,7,"Urban"
"0",0,0,59,0,13,41301,"No",0,"No","Male","High School","Blue Collar",10,"Commercial",11140,1,"Pickup","Yes",0,0,"Yes",1,7,"Urban"
"0",0,0,46,0,11,89657,"No",267839,"No","Female","Bachelors","Professional",39,"Private",11070,1,"SUV","No",0,0,"Yes",1,10,"Urban"
"1",3490,0,28,4,0,0,"Yes",81076,"No","Female","<High School","Home Maker",27,"Private",4300,1,"SUV","No",0,0,"Yes",0,6,"Urban"
"0",0,0,30,1,13,38898,"No",128607,"Yes","Male","Masters","Manager",14,"Private",4500,7,"Pickup","Yes",0,0,"Yes",0,17,"Urban"
"0",0,0,44,2,13,26763,"Yes",141019,"No","Female","Masters","Manager",49,"Private",11500,1,"SUV","No",0,0,"Yes",0,11,"Urban"
"0",0,2,36,2,9,64599,"Yes",189527,"No","Male","Masters","Lawyer",16,"Private",21490,4,"Van","Yes",5846,2,"Yes",1,18,"Urban"
"0",0,0,63,0,15,32824,"No",195693,"Yes","Female","High School","Manager",30,"Private",23750,5,"Sports Car","No",0,0,"Yes",4,6,"Urban"
"0",0,0,38,0,9,101267,"No",279674,"No","Male","Masters","Lawyer",33,"Private",15430,1,"Minivan","Yes",0,0,"Yes",0,1,"Urban"
"0",0,0,49,0,13,15492,"No",143129,"Yes","Female","<High School","Clerical",39,"Private",18950,7,"Pickup","No",0,0,"Yes",2,8,"Urban"
"0",0,0,46,0,9,57049,"No",211508,"No","Male","Bachelors","Manager",15,"Commercial",11800,7,"Pickup","Yes",1437,2,"Yes",0,11,"Urban"
"0",0,0,46,0,13,61674,"No",0,"No","Male","Bachelors","Manager",16,"Private",12270,4,"Minivan","Yes",0,0,"Yes",0,10,"Urban"
"0",0,1,40,3,10,68593,"Yes",0,"No","Female","Bachelors","Blue Collar",22,"Commercial",20250,1,"Sports Car","No",0,0,"Yes",0,9,"Rural"
"0",0,0,37,0,0,0,"No",0,"No","Female","High School","Home Maker",54,"Private",14400,4,"Minivan","No",0,0,"Yes",0,1,"Rural"
"0",0,0,54,0,6,70008,"No",0,"No","Female","Masters","Lawyer",18,"Private",15480,6,"SUV","No",0,0,"Yes",0,14,"Rural"
"1",6250,0,34,0,7,161846,"No",0,"No","Female","PhD","Manager",48,"Commercial",32020,9,"Panel Truck","No",28495,2,"No",0,15,"Urban"
"0",0,0,52,0,14,126865,"No",346249,"No","Male","Masters","Lawyer",16,"Private",14440,1,"Minivan","Yes",30341,3,"Yes",1,15,"Urban"
"1",1089,0,24,3,15,13003,"No",104742,"Yes","Female","High School","Clerical",38,"Private",3900,1,"SUV","No",0,0,"Yes",7,1,"Urban"
"0",0,0,35,0,9,142997,"No",333140,"No","Male","Masters","Manager",16,"Commercial",27320,7,"Panel Truck","Yes",0,0,"Yes",1,14,"Urban"
"0",0,0,38,0,12,32447,"No",143714,"Yes","Male","<High School","Blue Collar",25,"Commercial",13170,6,"Minivan","Yes",0,0,"Yes",0,6,"Urban"
"0",0,0,54,0,2,96154,"No",0,"No","Female","PhD","Lawyer",21,"Commercial",25080,7,"Pickup","No",0,0,"Yes",0,16,"Urban"
"1",3379,0,38,1,11,51551,"No",177942,"Yes","Female","Bachelors","Blue Collar",19,"Private",5200,12,"Sports Car","No",2605,1,"Yes",0,8,"Urban"
"0",0,0,28,3,13,98485,"No",284911,"Yes","Male","Bachelors","Blue Collar",71,"Commercial",22490,1,"Van","Yes",0,0,"Yes",2,9,"Rural"
"0",0,0,45,2,13,64632,"Yes",258727,"No","Male","Bachelors","Professional",18,"Private",19590,6,"Minivan","Yes",0,0,"Yes",1,13,"Urban"
"0",0,0,65,0,16,24274,"No",211649,"Yes","Female","High School","Clerical",42,"Private",10770,1,"Sports Car","No",1235,2,"Yes",1,12,"Rural"
"0",0,0,53,0,11,82266,"No",0,"No","Male","Masters","Lawyer",21,"Private",15030,1,"Minivan","Yes",0,0,"Yes",1,16,"Urban"
"1",6872,0,37,0,10,55076,"No",245993,"Yes","Male","High School","Clerical",23,"Private",16400,4,"Van","No",0,0,"Yes",1,1,"Urban"
"0",0,0,42,0,12,143781,"No",0,"No","Male","Masters","Manager",48,"Commercial",32070,1,"Panel Truck","Yes",0,0,"Yes",1,16,"Urban"
"0",0,0,46,0,12,116634,"No",360331,"No","Male","Bachelors","Blue Collar",14,"Commercial",17760,3,"Van","Yes",0,0,"Yes",0,14,"Urban"
"1",9467,0,37,0,12,14024,"No",64600,"Yes","Female","<High School","Clerical",26,"Private",15820,4,"Minivan","Yes",5697,4,"Yes",2,6,"Urban"
"0",0,0,43,0,10,72894,"No",0,"No","Male","<High School","Blue Collar",55,"Private",13090,6,"Minivan","Yes",537,2,"Yes",4,4,"Urban"
"0",0,0,49,0,12,92317,"No",248232,"Yes","Male","Masters","Professional",24,"Commercial",6720,10,"Pickup","No",2566,3,"Yes",0,14,"Urban"
"0",0,0,50,0,1,76489,"No",259139,"Yes","Female","Masters","Lawyer",33,"Private",14150,1,"SUV","No",0,0,"Yes",4,13,"Urban"
"0",0,0,32,2,13,21204,"No",0,"Yes","Female","<High School","Student",10,"Private",13450,10,"Minivan","No",0,0,"Yes",2,1,"Urban"
"0",0,0,54,0,15,80297,"No",0,"No","Male","Masters","Lawyer",29,"Commercial",24160,1,"Panel Truck","Yes",0,0,"Yes",2,13,"Urban"
"0",0,0,46,0,10,59110,"No",248132,"No","Male","Bachelors","Blue Collar",32,"Commercial",12010,7,"Pickup","Yes",0,0,"Yes",3,6,"Rural"
"0",0,0,51,0,12,84505,"No",255867,"Yes","Female","Bachelors","Professional",45,"Private",33800,1,"Minivan","No",5594,1,"Yes",0,11,"Urban"
"1",471.11545805,0,43,0,9,0,"No",55203,"Yes","Female","PhD","Home Maker",29,"Private",24030,9,"Minivan","No",3035,4,"Yes",0,14,"Urban"
"0",0,0,46,0,13,57323,"No",0,"No","Female","Bachelors","Professional",17,"Private",8780,6,"Minivan","No",0,0,"Yes",2,6,"Urban"
"1",3149,0,35,0,7,62036,"No",154297,"Yes","Male","High School","Blue Collar",5,"Commercial",16370,4,"Van","Yes",3913,2,"Yes",7,1,"Urban"
"0",0,0,51,0,9,44977,"No",231102,"Yes","Male","High School","Blue Collar",41,"Commercial",13540,1,"Minivan","Yes",29883,1,"Yes",0,1,"Urban"
"0",0,0,40,0,10,74871,"No",206864,"Yes","Male","High School","Blue Collar",46,"Commercial",27110,6,"Panel Truck","No",3137,1,"Yes",4,7,"Urban"
"1",4266,0,49,0,13,32589,"No",169057,"Yes","Female","High School","Professional",56,"Private",17380,6,"SUV","No",0,0,"Yes",0,4,"Urban"
"0",0,0,27,1,9,26096,"Yes",150000,"No","Male","High School","Clerical",17,"Private",9980,1,"Minivan","No",5425,1,"Yes",0,1,"Urban"
"1",3351,0,54,0,6,52409,"No",212452,"No","Male","Bachelors","Clerical",40,"Private",12140,3,"Pickup","Yes",1986,4,"Yes",2,7,"Urban"
"0",0,0,56,0,13,169761,"No",443175,"Yes","Male","PhD","Manager",26,"Commercial",26330,13,"Panel Truck","No",2683,5,"Yes",0,10,"Urban"
"0",0,0,46,0,11,16369,"No",129084,"No","Female","High School","Home Maker",22,"Private",7740,6,"Sports Car","No",0,0,"Yes",0,9,"Rural"
"0",0,0,45,1,15,32596,"No",0,"Yes","Female","Bachelors","Student",39,"Commercial",11490,11,"SUV","No",0,0,"Yes",0,10,"Urban"
"0",0,0,48,0,12,88661,"No",292894,"Yes","Male","Bachelors","Blue Collar",17,"Commercial",20730,3,"Van","Yes",0,0,"Yes",1,5,"Urban"
"0",0,0,54,0,9,76799,"No",0,"No","Female","Masters","Manager",45,"Private",20410,6,"SUV","No",0,0,"Yes",0,20,"Urban"
"0",0,0,67,0,13,45368,"No",190399,"Yes","Male","Bachelors","Professional",33,"Private",20410,4,"Minivan","Yes",7445,2,"Yes",5,13,"Urban"
"1",1487,0,47,0,8,90940,"No",0,"No","Male","Bachelors","Professional",50,"Commercial",16710,10,"Van","Yes",8490,3,"Yes",0,10,"Urban"
"1",3310,0,24,2,12,11215,"Yes",0,"No","Male","High School","Student",32,"Commercial",5020,4,"Pickup","Yes",1122,4,"Yes",8,8,"Urban"
"0",0,0,50,0,8,52442,"No",210062,"No","Male","Bachelors","Professional",55,"Private",19900,4,"Minivan","Yes",0,0,"Yes",1,16,"Urban"
"0",0,0,40,0,13,59270,"No",199444,"Yes","Female","High School","Home Maker",5,"Private",20030,6,"SUV","No",0,0,"Yes",0,7,"Urban"
"0",0,0,33,1,8,74409,"No",243092,"Yes","Female","Masters","Lawyer",31,"Private",12240,4,"Minivan","No",0,0,"Yes",0,17,"Urban"
"1",5627,0,50,0,10,62880,"No",0,"No","Female","PhD","Doctor",41,"Private",12790,1,"SUV","No",4538,4,"Yes",11,11,"Urban"
"0",0,0,35,2,14,154247,"No",387192,"Yes","Female","Bachelors","Professional",45,"Commercial",23940,9,"Pickup","No",0,0,"Yes",2,9,"Urban"
"0",0,0,45,3,9,29805,"No",179666,"Yes","Male","<High School","Clerical",23,"Private",16080,6,"Minivan","Yes",683,3,"Yes",7,1,"Urban"
"0",0,0,58,0,13,49010,"No",0,"No","Male","Bachelors","Professional",20,"Commercial",27140,7,"Panel Truck","Yes",0,0,"Yes",0,15,"Urban"
"0",0,0,37,0,8,32497,"No",117288,"No","Male","High School","Professional",5,"Private",22090,6,"Minivan","No",0,0,"Yes",0,1,"Urban"
"0",0,0,44,0,12,55241,"No",205177,"No","Male","High School","Blue Collar",40,"Commercial",14200,1,"Minivan","No",0,0,"Yes",0,1,"Urban"
"0",0,0,45,3,15,39055,"No",133294,"Yes","Female","High School","Manager",17,"Private",9910,10,"Sports Car","No",5762,5,"Yes",6,1,"Urban"
