"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","PARENT1","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","INCOME_THOU","HOME_VAL_THOU"
"0",0,0,34,1,10,"1","0","Female","Masters","Professional",8,"Private",13310,3,"Sports Car","0",0,0,"0",0,14,"0",84.128,236.963
"1",7045,0,58,0,6,"0","0","Male","Bachelors","Manager",22,"Commercial",28740,1,"Panel Truck","1",0,0,"0",4,12,"1",57.517,0
"0",0,1,37,2,14,"1","0","Female","Bachelors","Professional",49,"Private",13340,1,"SUV","0",0,0,"1",1,10,"1",96.188,0
"0",0,0,44,1,16,"0","1","Female","Masters","Lawyer",7,"Private",26090,17,"Pickup","0",0,0,"0",0,17,"1",114.537,307.024
"0",0,0,37,0,13,"0","1","Male","PhD","Doctor",30,"Private",14160,1,"Minivan","1",1344,1,"0",5,13,"1",89.596,271.298
"0",0,0,45,0,9,"0","1","Male","Masters","Lawyer",30,"Private",16820,4,"Van","1",0,0,"0",0,12,"1",107.537,295.463
"0",0,0,46,0,13,"0","1","Male","High School","Blue Collar",50,"Commercial",11700,1,"Pickup","1",0,0,"0",0,8,"0",53.156,140.734
"0",0,0,48,0,0,"0","1","Female","High School","Student",69,"Private",7520,1,"Sports Car","0",0,0,"0",1,8,"0",12.169,0
"0",0,0,46,0,0,"0","1","Female","Bachelors","Home Maker",54,"Private",6140,1,"SUV","0",0,0,"0",1,9,"0",0,59.722
"0",0,0,43,2,13,"0","1","Female","Bachelors","Professional",29,"Private",36960,1,"Sports Car","0",50347,2,"1",4,11,"1",118.983,355.673
"0",0,0,35,2,13,"1","0","Female","High School","Clerical",53,"Private",8590,4,"SUV","0",1278,2,"0",6,1,"0",35.907,160.171
"0",0,0,55,0,13,"0","1","Female","Masters","Manager",12,"Private",19610,6,"SUV","0",0,0,"0",2,14,"1",73.246,252.432
"0",0,1,43,2,14,"1","0","Male","Bachelors","Manager",36,"Private",14010,13,"Minivan","1",716,3,"0",3,1,"1",71.141,217.6
"0",0,0,47,0,13,"0","1","Male","<High School","Clerical",54,"Commercial",6400,1,"Pickup","1",0,0,"0",1,1,"0",28.966,127.52
"1",10106.49119,0,54,0,14,"0","0","Female","Masters","Home Maker",48,"Private",20400,7,"SUV","0",0,0,"0",0,17,"1",40.862,0
"0",0,0,45,2,0,"1","0","Male","Bachelors","Student",63,"Commercial",6000,1,"Minivan","1",0,0,"1",0,1,"0",0,0
"0",0,0,50,0,0,"0","0","Female","<High School","Home Maker",33,"Private",9490,1,"SUV","0",0,0,"0",0,5,"0",0,0
"0",0,0,46,0,2,"0","0","Male","Bachelors","Manager",27,"Commercial",22900,6,"Panel Truck","0",4842,1,"0",6,13,"1",102.253,265.759
"0",0,0,47,0,13,"0","1","Female","Masters","Lawyer",33,"Private",12030,6,"SUV","0",0,0,"0",1,12,"0",58.273,238.85
"0",0,0,51,0,6,"0","1","Female","Bachelors","Professional",45,"Commercial",21390,6,"Pickup","0",1744,2,"0",6,11,"1",54.464,235.901
"0",0,0,28,2,14,"0","1","Female","Masters","Professional",45,"Private",11100,6,"SUV","0",5867,2,"0",8,14,"1",59.889,193.646
"0",0,0,48,0,15,"0","0","Male","High School","Manager",24,"Private",9910,1,"Pickup","1",8258,2,"0",0,6,"1",36.098,0
"0",0,3,39,3,11,"0","1","Female","Bachelors","Clerical",6,"Private",27250,6,"Minivan","0",1400,2,"0",1,11,"0",30.728,174.194
"0",0,0,50,0,11,"0","0","Female","PhD","Professional",17,"Private",7590,7,"Sports Car","0",2005,1,"0",6,14,"1",60.895,244.784
"1",1842.2108931,0,27,4,13,"0","1","Female","High School","Blue Collar",22,"Private",9210,1,"SUV","0",1271,2,"0",3,1,"1",50.139,167.99
"1",3667,0,38,0,9,"0","0","Female","Bachelors","Blue Collar",22,"Commercial",14640,11,"Minivan","0",0,0,"1",0,9,"1",62.29,223.013
"0",0,0,39,0,0,"0","0","Female","Bachelors","Student",38,"Commercial",5400,1,"SUV","0",0,0,"0",0,6,"0",0,0
"0",0,0,43,0,11,"0","1","Male","<High School","Blue Collar",31,"Commercial",8240,1,"Pickup","1",0,0,"0",0,1,"0",24.382,168.092
"0",0,0,63,0,9,"0","0","Female","Masters","Lawyer",39,"Private",14190,6,"Sports Car","0",3088,1,"0",4,21,"1",93.59,0
"1",2982,1,45,2,11,"1","0","Female","Masters","Lawyer",6,"Private",9860,1,"Sports Car","0",0,0,"1",0,11,"1",38.563,0
"0",0,0,50,0,12,"0","0","Female","Bachelors","Manager",27,"Private",19650,4,"Sports Car","0",0,0,"0",0,14,"1",107.047,290.83
"0",0,0,57,0,13,"0","0","Female","Bachelors","Manager",46,"Private",25710,9,"Minivan","0",0,0,"0",1,7,"1",92.106,0
"0",0,0,48,0,12,"0","1","Male","PhD","Manager",39,"Commercial",37500,7,"Panel Truck","0",0,0,"0",1,17,"1",69.589,195.516
"0",0,0,48,0,13,"0","1","Male","<High School","Clerical",15,"Commercial",30380,10,"Panel Truck","0",18920,3,"0",0,6,"1",20.887,159.568
"0",0,0,35,1,0,"0","1","Female","High School","Home Maker",44,"Private",16870,4,"SUV","0",11353,1,"0",2,1,"1",0,99.767
"0",0,0,40,1,12,"1","0","Female","<High School","Clerical",47,"Private",12090,1,"SUV","0",0,0,"0",0,1,"0",41.002,0
"0",0,0,50,0,13,"0","1","Male","Bachelors","Clerical",25,"Private",9410,12,"Pickup","1",0,0,"0",0,1,"0",29.139,176.944
"1",1698,0,55,0,15,"0","1","Male","Bachelors","Blue Collar",48,"Commercial",34310,6,"Panel Truck","0",4423,2,"0",0,12,"1",86.268,274.362
"0",0,0,48,0,15,"0","0","Male","<High School","Blue Collar",39,"Commercial",20350,1,"Van","1",0,0,"0",0,8,"0",24.503,141.398
"1",4402,0,36,0,0,"0","0","Female","PhD","Home Maker",62,"Private",2680,6,"Sports Car","0",0,0,"0",0,21,"1",0,68.436
"0",0,0,53,0,0,"0","1","Male","Bachelors","Student",39,"Commercial",10860,1,"Pickup","1",0,0,"0",0,1,"0",17.424,0
"1",3320.8008076,0,45,0,4,"0","0","Male","High School","Professional",42,"Private",13830,4,"Minivan","0",6556,3,"0",0,1,"1",53.908,0
"1",9605,0,43,0,11,"0","1","Female","High School","Blue Collar",15,"Commercial",10340,1,"Sports Car","0",0,0,"0",3,6,"1",45.416,146.899
"0",0,0,56,0,11,"0","0","Male","Bachelors","Clerical",54,"Private",14310,1,"Minivan","1",0,0,"0",0,9,"0",41.301,216.05
"0",0,0,32,0,12,"0","0","Male","PhD","Doctor",15,"Commercial",18160,10,"Van","1",5432,5,"0",4,17,"1",92.192,0
"0",0,0,48,0,10,"0","1","Male","Bachelors","Blue Collar",39,"Private",15790,4,"Minivan","1",0,0,"0",0,13,"1",87.02,286.631
"0",0,0,26,0,9,"0","1","Female","Bachelors","Blue Collar",37,"Commercial",18980,10,"SUV","0",0,0,"0",0,1,"0",53.982,152.641
"0",0,0,48,0,15,"0","1","Female","Masters","Lawyer",53,"Private",9410,6,"SUV","0",0,0,"0",0,18,"1",79.078,219.277
"0",0,2,38,3,0,"0","1","Female","<High School","Student",46,"Private",22380,1,"SUV","0",2531,3,"0",4,1,"1",0,0
"0",0,0,27,3,0,"1","0","Male","<High School","Student",5,"Private",20120,1,"Van","0",0,0,"0",0,1,"1",30.125,0
"0",0,0,38,1,0,"1","0","Male","High School","Student",35,"Commercial",19340,1,"Van","0",0,0,"0",0,1,"0",1.729,0
"1",4446,0,27,1,12,"1","0","Female","<High School","Blue Collar",33,"Private",14070,1,"SUV","0",0,0,"0",1,7,"1",22.252,0
"0",0,2,42,3,0,"0","1","Female","Bachelors","Home Maker",5,"Private",9240,4,"Minivan","0",0,0,"1",0,13,"1",0,83.97
"0",0,0,50,0,0,"0","1","Female","<High School","Student",49,"Private",34220,1,"Van","0",0,0,"0",0,6,"0",0.525,0
"1",2872,0,40,0,5,"0","0","Female","Masters","Professional",46,"Private",16250,10,"Sports Car","0",0,0,"0",0,19,"1",57.063,0
"0",0,0,37,0,13,"0","1","Male","Bachelors","Manager",34,"Private",10860,17,"Pickup","1",0,0,"0",0,10,"1",56.637,177.36
"0",0,0,46,0,15,"0","1","Male","High School","Blue Collar",35,"Commercial",14450,7,"Minivan","1",0,0,"0",0,8,"1",62.565,188.189
"1",4267,0,44,0,8,"0","0","Female","Masters","Home Maker",27,"Private",5900,4,"SUV","0",0,0,"0",2,11,"1",0,0
"1",5686,0,45,0,13,"0","0","Female","Masters","Lawyer",9,"Private",13540,1,"Minivan","0",10941,2,"0",4,20,"1",44.492,0
"1",4043,0,48,1,12,"1","0","Female","Bachelors","Manager",36,"Commercial",33550,4,"Van","0",0,0,"0",0,7,"1",80.016,0
"0",0,0,59,0,13,"0","0","Male","High School","Blue Collar",10,"Commercial",11140,1,"Pickup","1",0,0,"0",1,7,"1",41.301,0
"0",0,0,46,0,11,"0","0","Female","Bachelors","Professional",39,"Private",11070,1,"SUV","0",0,0,"0",1,10,"1",89.657,267.839
"1",3490,0,28,4,0,"1","0","Female","<High School","Home Maker",27,"Private",4300,1,"SUV","0",0,0,"0",0,6,"1",0,81.076
"0",0,0,30,1,13,"0","1","Male","Masters","Manager",14,"Private",4500,7,"Pickup","1",0,0,"0",0,17,"1",38.898,128.607
"0",0,0,44,2,13,"1","0","Female","Masters","Manager",49,"Private",11500,1,"SUV","0",0,0,"0",0,11,"1",26.763,141.019
"0",0,2,36,2,9,"1","0","Male","Masters","Lawyer",16,"Private",21490,4,"Van","1",5846,2,"0",1,16,"1",64.599,189.527
"0",0,0,63,0,15,"0","1","Female","High School","Manager",30,"Private",23750,5,"Sports Car","0",0,0,"0",4,1,"1",32.824,195.693
"0",0,0,38,0,9,"0","0","Male","Masters","Lawyer",33,"Private",15430,1,"Minivan","1",0,0,"0",0,1,"1",101.267,279.674
"0",0,0,49,0,13,"0","1","Female","<High School","Clerical",39,"Private",18950,7,"Pickup","0",0,0,"0",2,8,"1",15.492,143.129
"0",0,0,46,0,9,"0","0","Male","Bachelors","Manager",15,"Commercial",11800,7,"Pickup","1",1437,2,"0",0,11,"1",57.049,211.508
"0",0,0,46,0,13,"0","0","Male","Bachelors","Manager",16,"Private",12270,4,"Minivan","1",0,0,"0",0,10,"1",61.674,0
"0",0,1,40,3,10,"1","0","Female","Bachelors","Blue Collar",22,"Commercial",20250,1,"Sports Car","0",0,0,"0",0,9,"0",32.159,0
"0",0,0,37,0,0,"0","0","Female","High School","Home Maker",54,"Private",14400,4,"Minivan","0",0,0,"0",0,1,"0",0,0
"0",0,0,54,0,12,"0","0","Female","Masters","Lawyer",18,"Private",15480,6,"SUV","0",0,0,"0",0,14,"0",70.008,0
"1",6250,0,34,0,7,"0","0","Female","PhD","Blue Collar",48,"Commercial",32020,9,"Panel Truck","0",28495,2,"1",0,15,"1",161.846,0
"0",0,0,52,0,14,"0","0","Male","Masters","Lawyer",16,"Private",14440,1,"Minivan","1",30341,3,"0",1,15,"1",126.865,346.249
"1",1089,0,24,3,15,"0","1","Female","High School","Clerical",38,"Private",3900,1,"SUV","0",0,0,"0",7,1,"1",13.003,104.742
"0",0,0,35,0,9,"0","0","Male","Masters","Manager",16,"Commercial",27320,7,"Panel Truck","1",0,0,"0",1,14,"1",142.997,333.14
"0",0,0,38,0,12,"0","1","Male","<High School","Blue Collar",25,"Commercial",13170,6,"Minivan","1",0,0,"0",0,6,"1",32.447,143.714
"0",0,0,54,0,2,"0","0","Female","PhD","Doctor",21,"Commercial",25080,7,"Pickup","0",0,0,"0",0,16,"1",96.154,0
"1",3379,0,38,1,11,"0","1","Female","Bachelors","Blue Collar",19,"Private",5200,12,"Sports Car","0",2605,1,"0",0,6,"1",51.551,177.942
"0",0,0,28,3,13,"0","1","Male","Bachelors","Blue Collar",71,"Commercial",22490,1,"Van","1",0,0,"0",2,8,"0",98.485,284.911
"0",0,0,45,2,13,"1","0","Male","Bachelors","Professional",18,"Private",19590,6,"Minivan","1",0,0,"0",1,13,"1",64.632,258.727
"0",0,0,65,0,16,"0","1","Female","High School","Clerical",42,"Private",10770,1,"Sports Car","0",1235,2,"0",1,12,"0",24.274,211.649
"0",0,0,53,0,11,"0","0","Male","Masters","Lawyer",21,"Private",15030,1,"Minivan","1",0,0,"0",1,16,"1",82.266,0
"1",6872,0,37,0,10,"0","1","Male","High School","Clerical",23,"Private",16400,4,"Van","0",0,0,"0",1,1,"1",55.076,245.993
"0",0,0,42,0,12,"0","0","Male","Masters","Manager",48,"Commercial",32070,1,"Panel Truck","1",0,0,"0",1,16,"1",143.781,0
"0",0,0,46,0,12,"0","0","Male","Bachelors","Blue Collar",14,"Commercial",17760,3,"Van","1",0,0,"0",0,14,"1",116.634,360.331
"1",9467,0,37,0,12,"0","1","Female","<High School","Clerical",26,"Private",15820,4,"Minivan","1",5697,4,"0",2,6,"1",14.024,64.6
"0",0,0,43,0,10,"0","0","Male","<High School","Blue Collar",55,"Private",13090,6,"Minivan","1",537,2,"0",4,4,"1",72.894,0
"0",0,0,49,0,12,"0","1","Male","Masters","Doctor",24,"Commercial",6720,10,"Pickup","0",2566,3,"0",0,14,"1",92.317,248.232
"0",0,0,50,0,1,"0","1","Female","Masters","Lawyer",33,"Private",14150,1,"SUV","0",0,0,"0",4,13,"1",76.489,259.139
"0",0,0,32,2,0,"0","1","Female","<High School","Student",10,"Private",13450,10,"Minivan","0",0,0,"0",2,1,"1",21.204,0
"0",0,0,54,0,15,"0","0","Male","Masters","Manager",29,"Commercial",24160,1,"Panel Truck","1",0,0,"0",2,13,"1",80.297,0
"0",0,0,46,0,10,"0","0","Male","Bachelors","Blue Collar",32,"Commercial",12010,7,"Pickup","1",0,0,"0",3,6,"0",59.11,248.132
"0",0,0,51,0,12,"0","1","Female","Bachelors","Professional",45,"Private",33800,1,"Minivan","0",5594,1,"0",0,11,"1",67.175,256.137
"1",471.11545805,0,43,0,12,"0","1","Female","PhD","Home Maker",29,"Private",24030,9,"Minivan","0",3035,4,"0",0,14,"1",0,55.203
"0",0,0,46,0,13,"0","0","Female","Bachelors","Professional",17,"Private",8780,6,"Minivan","0",0,0,"0",2,6,"1",57.323,0
"1",3149,0,35,0,7,"0","1","Male","High School","Blue Collar",5,"Commercial",16370,4,"Van","1",3913,2,"0",7,1,"1",62.036,154.297
"0",0,0,51,0,9,"0","1","Male","High School","Blue Collar",41,"Commercial",13540,1,"Minivan","1",29883,1,"0",0,1,"1",44.977,230.564
"0",0,0,40,0,10,"0","1","Male","High School","Blue Collar",46,"Commercial",27110,6,"Panel Truck","0",3137,1,"0",4,7,"1",74.871,206.864
"1",4266,0,49,0,13,"0","1","Female","High School","Professional",56,"Private",17380,6,"SUV","0",0,0,"0",0,4,"1",32.589,169.057
"0",0,0,27,1,9,"1","0","Male","High School","Clerical",17,"Private",9980,1,"Minivan","0",5425,1,"0",0,1,"1",26.096,150
"1",3351,0,54,0,6,"0","0","Male","Bachelors","Clerical",40,"Private",12140,3,"Pickup","1",1986,4,"0",2,7,"1",52.409,212.452
"0",0,0,56,0,13,"0","1","Male","PhD","Manager",26,"Commercial",26330,13,"Panel Truck","0",2683,5,"0",0,10,"1",169.761,443.175
"0",0,0,46,0,11,"0","0","Female","High School","Home Maker",22,"Private",7740,6,"Sports Car","0",0,0,"0",0,9,"0",16.369,129.084
"0",0,0,45,1,0,"0","1","Female","Bachelors","Student",39,"Commercial",11490,11,"SUV","0",0,0,"0",0,10,"1",32.596,215.25
"0",0,0,48,0,12,"0","1","Male","Bachelors","Blue Collar",17,"Commercial",20730,3,"Van","1",0,0,"0",1,5,"1",88.661,292.894
"0",0,0,54,0,9,"0","0","Female","Masters","Manager",45,"Private",20410,6,"SUV","0",0,0,"0",0,9,"1",76.799,0
"0",0,0,67,0,13,"0","1","Male","Bachelors","Professional",33,"Private",20410,4,"Minivan","1",7445,2,"0",5,13,"1",45.368,190.399
"1",1487,0,47,0,8,"0","0","Male","Bachelors","Professional",50,"Commercial",16710,10,"Van","1",8490,3,"0",0,10,"1",90.94,0
"1",3310,0,24,2,0,"1","0","Male","High School","Student",32,"Commercial",5020,4,"Pickup","1",1122,4,"0",8,8,"1",11.215,0
"0",0,0,50,0,8,"0","0","Male","Bachelors","Professional",55,"Private",19900,4,"Minivan","1",0,0,"0",1,16,"1",52.442,210.062
"0",0,0,40,0,13,"0","1","Female","High School","Home Maker",5,"Private",20030,6,"SUV","0",0,0,"0",0,7,"1",14.757,199.444
"0",0,0,33,1,8,"0","1","Female","Masters","Lawyer",31,"Private",12240,4,"Minivan","0",0,0,"0",0,17,"1",74.409,243.092
"1",5627,0,50,0,10,"0","0","Female","PhD","Doctor",41,"Private",12790,1,"SUV","0",4538,4,"0",11,11,"1",62.88,0
"0",0,0,35,2,14,"0","1","Female","Bachelors","Professional",45,"Commercial",23940,9,"Pickup","0",0,0,"0",2,9,"1",154.247,387.192
"0",0,0,45,3,9,"0","1","Male","<High School","Clerical",23,"Private",16080,6,"Minivan","1",683,3,"0",7,1,"1",29.805,179.666
"0",0,0,58,0,13,"0","0","Male","Bachelors","Professional",20,"Commercial",27140,7,"Panel Truck","1",0,0,"0",0,15,"1",58.46,0
"0",0,0,37,0,8,"0","0","Male","High School","Professional",5,"Private",22090,6,"Minivan","0",0,0,"0",0,1,"1",32.497,117.288
"0",0,0,44,0,12,"0","0","Male","High School","Blue Collar",40,"Commercial",14200,1,"Minivan","0",0,0,"0",0,1,"1",55.241,205.177
"0",0,0,45,3,15,"0","1","Female","High School","Manager",17,"Private",9910,10,"Sports Car","0",5762,5,"0",6,1,"1",39.055,133.294
"1",5165,0,35,0,9,"0","1","Female","High School","Blue Collar",47,"Commercial",22230,5,"Minivan","0",0,0,"0",4,5,"1",55.578,173.187
"0",0,0,28,1,13,"0","1","Female","Bachelors","Blue Collar",56,"Commercial",22200,4,"SUV","0",0,0,"0",3,11,"0",97.231,262.856
"1",1436.1676118,1,40,2,16,"0","1","Female","High School","Blue Collar",25,"Commercial",13020,10,"SUV","0",44010,3,"1",4,6,"1",75.188,241.182
"0",0,0,38,0,11,"0","1","Male","Masters","Manager",39,"Commercial",27390,6,"Panel Truck","1",33887,4,"1",3,18,"1",92.242,233.525
"0",0,0,50,0,14,"0","1","Female","<High School","Clerical",24,"Private",11050,6,"SUV","0",0,0,"0",4,6,"0",31.889,169.899
"1",23139.079869,0,59,0,12,"0","0","Female","Bachelors","Blue Collar",40,"Commercial",22930,6,"Pickup","0",7089,3,"0",4,4,"1",55.693,120.571
"1",724,0,31,1,12,"0","1","Male","<High School","Blue Collar",33,"Private",6990,1,"Pickup","1",0,0,"0",3,4,"1",54.909,329.32
"0",0,0,48,0,11,"0","0","Female","<High School","Clerical",48,"Private",6830,6,"SUV","0",6645,3,"0",5,3,"1",21.246,115.947
"1",7485,1,34,4,14,"0","1","Male","High School","Blue Collar",61,"Commercial",5490,13,"Pickup","0",1423,1,"0",0,1,"1",58.991,162.309
"0",0,0,28,1,11,"0","1","Female","High School","Clerical",55,"Private",13430,4,"SUV","0",0,0,"0",0,10,"0",22.021,88.733
"1",7635,0,50,0,11,"0","1","Male","Masters","Lawyer",64,"Commercial",19610,4,"Van","1",8924,1,"0",0,1,"1",98.347,282.017
"0",0,0,46,0,11,"0","0","Female","Masters","Lawyer",27,"Private",20760,11,"SUV","0",0,0,"0",4,22,"1",104.206,0
"0",0,0,42,3,9,"1","0","Female","High School","Blue Collar",38,"Commercial",33280,4,"SUV","0",0,0,"0",1,1,"0",43.834,153.656
"0",0,1,47,1,12,"0","1","Male","PhD","Manager",5,"Commercial",23410,6,"Panel Truck","1",0,0,"0",0,16,"1",172.091,374.376
"0",0,0,39,0,11,"0","1","Female","High School","Blue Collar",32,"Private",9030,1,"Sports Car","0",0,0,"0",0,1,"1",36.313,161.899
